# r[Mpc/h], xi_u\psi[L^2], xi_\psi\psi[L^2]
2.672672672672673002e+02 -6.558674775020083281e-02 -6.073607801799964061e-03
2.682682682682682866e+02 -6.544337935380802052e-02 -6.093680927688541193e-03
2.692692692692692731e+02 -6.530049429414007400e-02 -6.113709705599854743e-03
2.702702702702703164e+02 -6.515809203236141989e-02 -6.133696018627780855e-03
2.712712712712713028e+02 -6.501617237175132125e-02 -6.153637138320605833e-03
2.722722722722722892e+02 -6.487473864629719755e-02 -6.173535728772387883e-03
2.732732732732732757e+02 -6.473378521280988285e-02 -6.193390902412923039e-03
2.742742742742743189e+02 -6.459331505436750887e-02 -6.213203097227571088e-03
2.752752752752753054e+02 -6.445332448773895273e-02 -6.232971226472660414e-03
2.762762762762762918e+02 -6.431381795500742959e-02 -6.252698214165760757e-03
2.772772772772772782e+02 -6.417479018818318670e-02 -6.272382059195127924e-03
2.782782782782783215e+02 -6.403624235814701915e-02 -6.292022378330406479e-03
2.792792792792793080e+02 -6.389817301021084861e-02 -6.311622121901479601e-03
2.802802802802802944e+02 -6.376058194146860814e-02 -6.331178789250378400e-03
2.812812812812812808e+02 -6.362346851707975648e-02 -6.350693294674108168e-03
2.822822822822823241e+02 -6.348683101099439341e-02 -6.370165864035741074e-03
2.832832832832833105e+02 -6.335066979915071617e-02 -6.389596611031613319e-03
2.842842842842842970e+02 -6.321498220547396019e-02 -6.408985848008712585e-03
2.852852852852852834e+02 -6.307976866023200235e-02 -6.428334312311479587e-03
2.862862862862863267e+02 -6.294502796320225468e-02 -6.447639536353396393e-03
2.872872872872873131e+02 -6.281075884669219678e-02 -6.466904589189232007e-03
2.882882882882882996e+02 -6.267695986166785249e-02 -6.486128569186212778e-03
2.892892892892893428e+02 -6.254363021933510847e-02 -6.505311613898855094e-03
2.902902902902903293e+02 -6.241076841894029059e-02 -6.524453906705001381e-03
2.912912912912913157e+02 -6.227837164691223809e-02 -6.543555516115264620e-03
2.922922922922923021e+02 -6.214644394675958999e-02 -6.562616688249269491e-03
2.932932932932933454e+02 -6.201497791748834809e-02 -6.581636411635505279e-03
2.942942942942943318e+02 -6.188397770956117344e-02 -6.600618087932152815e-03
2.952952952952953183e+02 -6.175343518410024435e-02 -6.619558615973204080e-03
2.962962962962963047e+02 -6.162335572723651872e-02 -6.638459181629230085e-03
2.972972972972973480e+02 -6.149373524354751624e-02 -6.657319967561455519e-03
2.982982982982983344e+02 -6.136457358200998746e-02 -6.676141116622557985e-03
2.992992992992993209e+02 -6.123586709087969898e-02 -6.694922785017934190e-03
3.003003003003003073e+02 -6.110761692266844514e-02 -6.713665124136080492e-03
3.013013013013013506e+02 -6.097981937185918688e-02 -6.732368935659044026e-03
3.023023023023023370e+02 -6.085248770953939623e-02 -6.751032138812573975e-03
3.033033033033033234e+02 -6.072559472512902706e-02 -6.769657150428704320e-03
3.043043043043043099e+02 -6.059915684134444674e-02 -6.788243339421875383e-03
3.053053053053053532e+02 -6.047315992720468658e-02 -6.806790886500734862e-03
3.063063063063063396e+02 -6.034760221707753669e-02 -6.825299897797473467e-03
3.073073073073073260e+02 -6.022250304917477898e-02 -6.843770576790349745e-03
3.083083083083083125e+02 -6.009784815570239774e-02 -6.862202980388036784e-03
3.093093093093093557e+02 -5.997363581715603464e-02 -6.880596700896594343e-03
3.103103103103103422e+02 -5.984986666786939330e-02 -6.898952913005660520e-03
3.113113113113113286e+02 -5.972653899358075502e-02 -6.917271779996653214e-03
3.123123123123123150e+02 -5.960364856709192416e-02 -6.935552222866125070e-03
3.133133133133133583e+02 -5.948119614450206316e-02 -6.953795467193648813e-03
3.143143143143143448e+02 -5.935918073440243220e-02 -6.972001158496787983e-03
3.153153153153153312e+02 -5.923760089158765230e-02 -6.990169518639643455e-03
3.163163163163163176e+02 -5.911645351296310191e-02 -7.008301083593336880e-03
3.173173173173173609e+02 -5.899573752760916417e-02 -7.026394704399202204e-03
3.183183183183183473e+02 -5.887545264837448084e-02 -7.044451832757326823e-03
3.193193193193193338e+02 -5.875559602681947741e-02 -7.062472184269354310e-03
3.203203203203203202e+02 -5.863616649364621070e-02 -7.080455924760769952e-03
3.213213213213213635e+02 -5.851716339589171922e-02 -7.098403141937795376e-03
3.223223223223223499e+02 -5.839858349866717396e-02 -7.116313262321685186e-03
3.233233233233233364e+02 -5.828042651501750410e-02 -7.134188529093499556e-03
3.243243243243243796e+02 -5.816270193368902608e-02 -7.152026930182805477e-03
